2B,3B,AB,AVG,G,H,HR,PA,R,RBI,SAC,SF,TB,team_filter,선수명,순위,팀명
8,0,111,0.225,41,25,1,126,9,10,1,1,36,두산,박준영,19,두산
3,1,81,0.222,34,18,1,87,7,7,2,0,26,두산,추재현,20,두산
10,1,183,0.213,106,39,3,225,17,25,0,1,60,두산,김인태,21,두산
1,0,15,0.200,9,3,0,17,1,0,1,0,4,두산,김준상,22,두산
0,0,36,0.194,16,7,1,37,1,5,0,0,10,두산,김대한,23,두산
1,0,11,0.182,10,2,0,11,0,0,0,0,3,두산,이선우,24,두산
0,0,22,0.136,17,3,0,22,2,1,0,0,3,두산,류현준,25,두산
0,0,17,0.118,10,2,1,21,2,1,0,0,5,두산,김민혁,26,두산
0,0,19,0.105,19,2,0,21,6,2,0,0,2,두산,여동건,27,두산
0,0,12,0.083,22,1,0,12,5,0,0,0,1,두산,전다민,28,두산
0,0,2,0.000,1,0,0,2,0,0,0,0,0,두산,강현구,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,고효준,29,두산
0,0,1,0.000,1,0,0,1,0,0,0,0,0,두산,김성재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김재호,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김정우,29,두산
0,0,0,-,4,0,0,0,0,0,0,0,0,두산,김택연,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김한중,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김호준,29,두산
0,0,2,0.000,7,0,0,2,0,0,0,0,0,두산,박민준,29,두산
0,0,7,0.000,6,0,0,7,0,0,0,0,0,두산,박성재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,박신지,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,박치국,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,양재훈,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,이영하,29,두산
0,0,2,0.000,4,0,0,2,0,0,0,0,0,두산,장승현,29,두산
0,0,3,0.000,3,0,0,3,0,0,0,0,0,두산,천현재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,최원준,29,두산
0,0,0,-,2,0,0,0,0,0,0,0,0,두산,홍민규,29,두산
0,0,2,0.5,2,1,0,2,0,0,0,0,1,키움,이재상,1,키움
37,4,570,0.316,143,180,25,642,102,89,0,3,300,키움,송성문,2,키움
0,0,16,0.313,11,5,0,17,2,2,0,0,5,키움,이주형,3,키움
31,1,459,0.275,120,126,12,506,45,74,0,6,195,키움,최주환,4,키움
3,0,82,0.268,49,22,0,91,8,8,0,1,25,키움,김동헌,5,키움
2,0,19,0.263,12,5,0,20,2,4,0,1,7,키움,변상권,6,키움
15,1,320,0.253,86,81,7,361,33,42,0,3,119,키움,카디네스,7,키움
0,0,4,0.25,7,1,0,6,2,0,0,0,1,키움,김병휘,8,키움
14,2,365,0.247,101,90,11,413,51,50,1,3,141,키움,임지열,9,키움
20,2,318,0.245,104,78,3,340,24,25,7,2,111,키움,김건희,10,키움
22,1,443,0.242,126,107,11,510,54,45,3,0,164,키움,이주형,11,키움
0,0,87,0.241,22,21,2,93,4,15,0,1,27,키움,스톤,12,키움
9,1,321,0.24,115,77,6,356,48,27,3,1,106,키움,어준서,13,키움
8,0,143,0.238,98,34,1,163,15,19,4,1,45,키움,오선진,14,키움
5,0,152,0.237,57,36,1,170,21,11,0,1,44,키움,주성원,15,키움
4,3,132,0.235,51,31,2,139,12,13,1,1,47,키움,임병욱,16,키움
11,2,279,0.233,94,65,5,304,27,25,2,3,95,키움,김태진,17,키움
5,0,182,0.231,77,42,0,207,20,10,3,2,47,키움,전태현,18,키움
11,3,244,0.225,101,55,3,279,33,23,2,2,81,키움,박주홍,19,키움
2,0,27,0.222,9,6,0,29,2,2,0,0,8,키움,김동엽,20,키움
1,0,23,0.217,14,5,0,26,4,2,1,0,6,키움,고영우,21,키움
1,0,37,0.216,14,8,0,41,7,0,1,0,9,키움,이용규,22,키움
2,0,156,0.212,40,33,6,172,17,20,0,0,53,키움,푸이그,23,키움
5,0,120,0.208,62,25,0,128,12,5,4,0,30,키움,김재현,24,키움
3,0,70,0.2,33,14,2,82,4,6,2,0,23,키움,이형종,25,키움
0,0,16,0.188,10,3,0,18,1,1,0,1,3,키움,염승원,26,키움
0,0,11,0.182,6,2,0,13,1,1,0,0,2,키움,강진성,27,키움
3,0,80,0.175,33,14,1,86,5,8,0,1,20,키움,송지후,28,키움
1,0,46,0.174,24,8,2,53,5,4,0,0,15,키움,원성준,29,키움
0,0,42,0.143,38,6,1,45,6,2,0,0,9,키움,박수종,30,키움
0,0,7,0.143,5,1,0,8,1,0,0,0,1,키움,이원석,30,키움
0,0,14,0.143,10,2,0,16,1,2,0,0,2,키움,장재영,30,키움
1,0,51,0.137,27,7,2,59,6,2,1,0,14,키움,여동욱,33,키움
0,0,20,0.100,22,2,0,24,1,1,2,0,2,키움,권혁빈,34,키움
0,0,24,0.083,10,2,0,31,1,0,1,0,2,키움,김웅빈,35,키움
0,0,12,0.083,12,1,0,14,1,0,0,0,1,키움,양현종,35,키움
0,0,0,-,3,0,0,0,0,0,0,0,0,키움,박윤성,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,박정훈,37,키움
0,0,0,-,2,0,0,0,0,0,0,0,0,키움,박주성,37,키움
0,0,7,0.000,6,0,0,8,0,0,0,0,0,키움,서유신,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,알칸타라,37,키움
0,0,2,0.000,1,0,0,2,0,0,0,0,0,키움,이승원,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,이준우,37,키움
0,0,0,-,2,0,0,0,0,0,0,0,0,키움,주승우,37,키움
